Sensor,Time Point,value
DC21410602,2022-01-22 23:00:00,5.32
DC21410602,2022-01-23 00:00:00,4.88
DC21410602,2022-01-23 01:00:00,4.26
DC21410602,2022-01-23 02:00:00,3.83
DC21410602,2022-01-23 03:00:00,3.74
DC21410602,2022-01-23 04:00:00,4.05
DC21410602,2022-01-23 05:00:00,4.2
DC21410602,2022-01-23 06:00:00,4.12
DC21410602,2022-01-23 07:00:00,4.45
DC21410602,2022-01-23 08:00:00,4.7
DC21410602,2022-01-23 09:00:00,5.08
DC21410602,2022-01-23 10:00:00,5.17
DC21410602,2022-01-23 11:00:00,4.66
DC21410602,2022-01-23 12:00:00,4.13
DC21410602,2022-01-23 13:00:00,3.28
DC21410602,2022-01-23 14:00:00,2.75
DC21410602,2022-01-23 15:00:00,2.42
DC21410602,2022-01-23 16:00:00,2.3
DC21410602,2022-01-23 17:00:00,2.45
DC21410602,2022-01-23 18:00:00,2.58
DC21410602,2022-01-23 19:00:00,3.0
DC21410602,2022-01-23 20:00:00,2.83
DC21410602,2022-01-23 21:00:00,3.34
DC21410602,2022-01-23 22:00:00,4.6
DC21410602,2022-01-23 23:00:00,6.14
DC21410602,2022-01-24 00:00:00,7.91
DC21410602,2022-01-24 01:00:00,6.84
DC21410602,2022-01-24 02:00:00,5.22
DC21410602,2022-01-24 03:00:00,3.79
DC21410602,2022-01-24 04:00:00,3.02
DC21410602,2022-01-24 05:00:00,2.95
DC21410602,2022-01-24 06:00:00,3.08
DC21410602,2022-01-24 07:00:00,1.87
DC21410602,2022-01-24 08:00:00,1.36
DC21410602,2022-01-24 09:00:00,1.14
DC21410602,2022-01-24 10:00:00,1.11
DC21410602,2022-01-24 11:00:00,1.05
DC21410602,2022-01-24 12:00:00,1.23
DC21410602,2022-01-24 13:00:00,1.18
DC21410602,2022-01-24 14:00:00,1.09
DC21410602,2022-01-24 15:00:00,1.08
DC21410602,2022-01-24 16:00:00,1.15
DC21410602,2022-01-24 17:00:00,1.47
DC21410602,2022-01-24 18:00:00,1.83
DC21410602,2022-01-24 19:00:00,2.05
DC21410602,2022-01-24 20:00:00,2.53
DC21410602,2022-01-24 21:00:00,2.54
DC21410602,2022-01-24 22:00:00,3.0
DC21410602,2022-01-24 23:00:00,3.39
DC21410602,2022-01-25 00:00:00,3.45
DC21410602,2022-01-25 01:00:00,3.41
DC21410602,2022-01-25 02:00:00,3.74
DC21410602,2022-01-25 03:00:00,3.64
DC21410602,2022-01-25 04:00:00,3.31
DC21410602,2022-01-25 05:00:00,2.12
DC21410602,2022-01-25 06:00:00,2.28
DC21410602,2022-01-25 07:00:00,2.01
DC21410602,2022-01-25 08:00:00,2.1
DC21410602,2022-01-25 09:00:00,2.63
DC21410602,2022-01-25 10:00:00,2.82
DC21410602,2022-01-25 11:00:00,2.61
